			DocID: 0 <TEXT> Freq=(22) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(9) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1046) Rank: 0.0  TF-IDF=(0.0)
feedback			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
fees			DocID: 2 <TEXT> Freq=(16) Rank: 0.7325792221607893  TF-IDF=(6.48744172973063), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
fellows			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
field			DocID: 2 <TEXT> Freq=(14) Rank: 1.9579073327332686  TF-IDF=(15.380572041353537)
fields			DocID: 2 <TEXT> Freq=(5) Rank: 0.6041586241692053  TF-IDF=(2.027325540540822), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
fields:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
files			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
filled			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
filling			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
film			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
final			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
finance			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
finances			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
financial			DocID: 2 <TEXT> Freq=(10) Rank: 0.6924377745682938  TF-IDF=(4.054651081081644), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
financially			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
find			DocID: 2 <TEXT> Freq=(5) Rank: 0.6041586241692053  TF-IDF=(2.027325540540822), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
fine			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(7) Rank: 0.0  TF-IDF=(0.0)
finish			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
first			DocID: 2 <TEXT> Freq=(8) Rank: 1.8100473204482104  TF-IDF=(8.788898309344878)
fitness			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
flickr			DocID: 0 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0)
follow			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
following			DocID: 2 <TEXT> Freq=(7) Rank: 1.7656015886501544  TF-IDF=(7.690286020676768)
following:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
follows:			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
food			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
form			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
formally			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
format			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
formats			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
formula			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
form”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
four			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
fr			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
free			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
friday			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
friends			DocID: 0 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0)
fulfill			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
full			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
full-year			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
full”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
function			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
funding			DocID: 0 <TEXT> Freq=(3) Rank: 0.660963330269735  TF-IDF=(1.2163953243244932), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
further:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
future			DocID: 0 <TEXT> Freq=(6) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(5) Rank: 0.0  TF-IDF=(0.0)
generally			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
generate			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
generation			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
george			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0)
get			DocID: 2 <TEXT> Freq=(6) Rank: 0.6309729498171638  TF-IDF=(2.4327906486489863), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
gets			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
gina			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(6) Rank: 0.0  TF-IDF=(0.0)
give			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
given			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
global			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
gmail			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
go			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
governance			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
government			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
grad			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
grade			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
gradproskills			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
graduate			DocID: 0 <TEXT> Freq=(11) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(8) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(18) Rank: 0.0  TF-IDF=(0.0)
graduates			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
graduate       			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
graduation			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
great			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
green			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
grid			DocID: 2 <TEXT> Freq=(7) Rank: 1.7656015886501544  TF-IDF=(7.690286020676768)
groove			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
groups			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
guarantee			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
guidance			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
guide			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
guides			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
h3g			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
h4b			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
harmony			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
health			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
held			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
help			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
help@concordia ca			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
help@concordia ca;			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
helping			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
helps			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
higher			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
highway			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
hist			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
historically			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
history			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
hold			DocID: 2 <TEXT> Freq=(7) Rank: 1.7656015886501544  TF-IDF=(7.690286020676768)
holds			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
holiday			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
holidays			DocID: 1 <TEXT> Freq=(1) Rank: 0.504281646473262  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
home			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
homepage			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
hosting			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
hours			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
housing			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
hover			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
however			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
hub			DocID: 0 <TEXT> Freq=(5) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(6) Rank: 0.0  TF-IDF=(0.0)
hubs			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
humanities			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
hyperlink:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
identify			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
ignored			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
image			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
impact			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
important			DocID: 0 <TEXT> Freq=(5) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(13) Rank: 0.0  TF-IDF=(0.0)
in-class			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
in-person			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
include			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
included			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
including			DocID: 2 <TEXT> Freq=(9) Rank: 1.8461941534105861  TF-IDF=(9.887510598012987)
incorrect			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
independent			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
independent/visiting			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
indicate			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
indicated			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
indicates			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
indigenous			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
individual			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
industry			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
information			DocID: 0 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(42) Rank: 0.0  TF-IDF=(0.0)
informing			DocID: 1 <TEXT> Freq=(1) Rank: 0.504281646473262  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(2) Rank: 0.43701355884500914  TF-IDF=(0.8109302162163288)
innovation			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
inquiry”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
instagram			DocID: 0 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0)
instances			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
institutes			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
instruction			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
instructional			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
instructions			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
instructor			DocID: 2 <TEXT> Freq=(5) Rank: 0.6041586241692053  TF-IDF=(2.027325540540822), DocID: 1 <TEXT> Freq=(1) Rank: 0.504281646473262  TF-IDF=(0.4054651081081644)
inte			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
integrity			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(2) Rank: 0.43701355884500914  TF-IDF=(0.8109302162163288)
intend			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
intent			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
international			DocID: 0 <TEXT> Freq=(6) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0)
internet			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
involved			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
issue			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
issues			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
is now			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
january			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
jmsb			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
job			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
jobs			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
john			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
june			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
keep			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
keeping			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
keyword			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
know			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
knowing			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
knowledge			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
known			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
labelled			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
laboratory			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
labs			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
landscapes			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
language			DocID: 0 <TEXT> Freq=(2) Rank: 0.6050196097179417  TF-IDF=(0.8109302162163288), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
larger			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
last			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
late			DocID: 1 <TEXT> Freq=(3) Rank: 0.6742599891933226  TF-IDF=(1.2163953243244932), DocID: 2 <TEXT> Freq=(2) Rank: 0.43701355884500914  TF-IDF=(0.8109302162163288)
later			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
latest			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
learn			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(2) Rank: 0.43701355884500914  TF-IDF=(0.8109302162163288)
learning			DocID: 0 <TEXT> Freq=(2) Rank: 0.6050196097179417  TF-IDF=(0.8109302162163288), DocID: 2 <TEXT> Freq=(4) Rank: 0.5679542730139937  TF-IDF=(1.6218604324326575)
lec			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
lecture			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
left			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
length			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
letter			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
letters			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
level			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
levels			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
level”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
library			DocID: 0 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0)
life			DocID: 0 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0)
like			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
link			DocID: 2 <TEXT> Freq=(12) Rank: 1.9229991384045582  TF-IDF=(13.183347464017316)
linkedin			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
links			DocID: 0 <TEXT> Freq=(9) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(5) Rank: 0.0  TF-IDF=(0.0)
links:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
list			DocID: 2 <TEXT> Freq=(25) Rank: 2.0564609786619648  TF-IDF=(27.465307216702744)
list:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
listed			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
listing			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
lists			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
load			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
location			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
locations			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
log			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
login			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
longer			DocID: 2 <TEXT> Freq=(3) Rank: 0.5163805574284754  TF-IDF=(1.2163953243244932), DocID: 1 <TEXT> Freq=(1) Rank: 0.504281646473262  TF-IDF=(0.4054651081081644)
look			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
looks			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
lose			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
losing			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
lower			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
loyola			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
mailing			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
main			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
